Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 35.60      6.33     6.33 1082178741     0.00     0.00  Graph::removeEdge(int, int)::{lambda(Edge const&)#1}::operator()(Edge const&) const
 17.72      9.48     3.15 1082178741     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator++()
 15.07     12.16     2.68 1082178741     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>::operator()<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >)
 13.50     14.56     2.40 1082688962     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator*() const
 10.69     16.46     1.90     2121     0.00     0.01  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > std::__find_if<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}> >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>, std::random_access_iterator_tag)
  1.86     16.79     0.33     2121     0.00     0.00  bool __gnu_cxx::operator!=<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  1.74     17.10     0.31   510221     0.00     0.00  Graph::addEdge(int, int, double)
  1.74     17.41     0.31    25298     0.00     0.00  Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}::operator()(Neighbor const&) const
  0.28     17.46     0.05        1     0.05     0.61  Graph::fromMetisFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.22     17.50     0.04  2370080     0.00     0.00  void __gnu_cxx::new_allocator<Neighbor>::construct<Neighbor, Neighbor>(Neighbor*, Neighbor&&)
  0.14     17.52     0.03  2370080     0.00     0.00  void std::allocator_traits<std::allocator<Neighbor> >::construct<Neighbor, Neighbor>(std::allocator<Neighbor>&, Neighbor*, Neighbor&&)
  0.11     17.55     0.02  2496708     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::__normal_iterator(Neighbor* const&)
  0.11     17.57     0.02  1034508     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::construct<Edge, Edge>(Edge*, Edge&&)
  0.11     17.59     0.02  1016124     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.11     17.61     0.02   215186     0.00     0.00  void std::vector<Neighbor, std::allocator<Neighbor> >::_M_realloc_insert<Neighbor>(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, Neighbor&&)
  0.06     17.61     0.01  4522983     0.00     0.00  operator new(unsigned long, void*)
