Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 31.58      0.06     0.06  2383474     0.00     0.00  void __gnu_cxx::new_allocator<Neighbor>::construct<Neighbor, Neighbor>(Neighbor*, Neighbor&&)
  5.26      0.07     0.01  2383436     0.00     0.00  void std::allocator_traits<std::allocator<Neighbor> >::construct<Neighbor, Neighbor>(std::allocator<Neighbor>&, Neighbor*, Neighbor&&)
  5.26      0.08     0.01  1357425     0.00     0.00  void __gnu_cxx::new_allocator<Neighbor>::destroy<Neighbor>(Neighbor*)
  5.26      0.09     0.01  1357424     0.00     0.00  void std::allocator_traits<std::allocator<Neighbor> >::destroy<Neighbor>(std::allocator<Neighbor>&, Neighbor*)
  5.26      0.10     0.01  1025516     0.00     0.00  Neighbor& std::vector<Neighbor, std::allocator<Neighbor> >::emplace_back<Neighbor>(Neighbor&&)
  5.26      0.11     0.01  1025254     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::push_back(Neighbor&&)
  5.26      0.12     0.01   875054     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::base() const
  5.26      0.13     0.01   656249     0.00     0.00  __gnu_cxx::new_allocator<Neighbor>::_M_max_size() const
  5.26      0.14     0.01   437533     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_S_do_relocate(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&, std::integral_constant<bool, true>)
  5.26      0.15     0.01   218647     0.00     0.00  void std::vector<Neighbor, std::allocator<Neighbor> >::_M_realloc_insert<Neighbor>(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, Neighbor&&)
  5.26      0.16     0.01    75888     0.00     0.00  std::_Vector_base<Neighbor, std::allocator<Neighbor> >::~_Vector_base()
  5.26      0.17     0.01                             _GLOBAL__sub_I__Z14partitionGraphRK5GraphiRSt6vectorIiSaIiEE
  2.63      0.17     0.01  3521665     0.00     0.00  operator new(unsigned long, void*)
  2.63      0.18     0.01  1312600     0.00     0.00  Neighbor* std::__niter_base<Neighbor*>(Neighbor*)
  2.63      0.18     0.01   437536     0.00     0.00  Neighbor* std::__relocate_a_1<Neighbor*, Neighbor*, std::allocator<Neighbor> >(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  2.63      0.19     0.01        8     0.62     0.62  std::__size_to_integer(unsigned long)
  0.00      0.19     0.00  6011529     0.00     0.00  Neighbor&& std::forward<Neighbor>(std::remove_reference<Neighbor>::type&)
  0.00      0.19     0.00  4072272     0.00     0.00  Neighbor* std::__addressof<Neighbor>(Neighbor&)
  0.00      0.19     0.00  2584695     0.00     0.00  Edge&& std::forward<Edge>(std::remove_reference<Edge>::type&)
  0.00      0.19     0.00  2489610     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::__normal_iterator(Neighbor* const&)
  0.00      0.19     0.00  2382802     0.00     0.00  std::remove_reference<Neighbor&>::type&& std::move<Neighbor&>(Neighbor&)
  0.00      0.19     0.00  1572861     0.00     0.00  Edge* std::__addressof<Edge>(Edge&)
  0.00      0.19     0.00  1357425     0.00     0.00  void std::__relocate_object_a<Neighbor, Neighbor, std::allocator<Neighbor> >(Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00      0.19     0.00  1244764     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::end()
  0.00      0.19     0.00  1036906     0.00     0.00  void std::allocator_traits<std::allocator<Edge> >::construct<Edge, Edge>(std::allocator<Edge>&, Edge*, Edge&&)
  0.00      0.19     0.00  1036526     0.00     0.00  std::remove_reference<Edge&>::type&& std::move<Edge&>(Edge&)
  0.00      0.19     0.00  1035940     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::construct<Edge, Edge>(Edge*, Edge&&)
  0.00      0.19     0.00  1026114     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator*() const
  0.00      0.19     0.00  1026103     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator-(long) const
  0.00      0.19     0.00  1026101     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::back()
  0.00      0.19     0.00  1025189     0.00     0.00  Neighbor::Neighbor(int, double)
