Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 29.54      5.27     5.27 2565310000     0.00     0.00  Graph::removeEdge(int, int)::{lambda(Edge const&)#1}::operator()(Edge const&) const
 18.08      8.49     3.23 2565310000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator++()
 16.76     11.48     2.99 2565310000     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>::operator()<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >)
 14.57     14.09     2.60 2565822072     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator*() const
 11.88     16.20     2.12     5000     0.42     3.24  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > std::__find_if<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}> >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>, std::random_access_iterator_tag)
  2.41     16.64     0.43   511752     0.00     0.00  Graph::addEdge(int, int, double)
  2.13     17.02     0.38    71004     0.01     0.01  Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}::operator()(Neighbor const&) const
  2.05     17.38     0.36     5000     0.07     0.07  bool __gnu_cxx::operator==<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  1.85     17.71     0.33     5000     0.07     0.07  __gnu_cxx::__normal_iterator<Edge const*, std::vector<Edge, std::allocator<Edge> > >::__normal_iterator(Edge const* const&)
  0.22     17.75     0.04  2383470     0.00     0.00  void __gnu_cxx::new_allocator<Neighbor>::construct<Neighbor, Neighbor>(Neighbor*, Neighbor&&)
  0.06     17.76     0.01  4072262     0.00     0.00  Neighbor* std::__addressof<Neighbor>(Neighbor&)
  0.06     17.77     0.01  1065178     0.00     0.00  std::vector<std::vector<Neighbor, std::allocator<Neighbor> >, std::allocator<std::vector<Neighbor, std::allocator<Neighbor> > > >::operator[](unsigned long)
  0.06     17.78     0.01  1025462     0.00     0.00  Neighbor& std::vector<Neighbor, std::allocator<Neighbor> >::emplace_back<Neighbor>(Neighbor&&)
  0.06     17.79     0.01  1025376     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::push_back(Neighbor&&)
  0.06     17.80     0.01   511997     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator-(long) const
  0.06     17.81     0.01   100993     0.00     0.00  std::_Bit_const_iterator::operator*() const
  0.06     17.82     0.01    68084     0.00     0.00  Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}::operator()(Neighbor const&) const
  0.06     17.83     0.01     4998     0.00     0.00  SSSPTree::isTreeEdge(int, int) const
  0.06     17.84     0.01        1    10.00   526.39  Graph::fromMetisFile(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00     17.84     0.00  6011509     0.00     0.00  Neighbor&& std::forward<Neighbor>(std::remove_reference<Neighbor>::type&)
  0.00     17.84     0.00  3522190     0.00     0.00  operator new(unsigned long, void*)
  0.00     17.84     0.00  2584934     0.00     0.00  Edge&& std::forward<Edge>(std::remove_reference<Edge>::type&)
  0.00     17.84     0.00  2549542     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::__normal_iterator(Neighbor* const&)
  0.00     17.84     0.00  2383440     0.00     0.00  void std::allocator_traits<std::allocator<Neighbor> >::construct<Neighbor, Neighbor>(std::allocator<Neighbor>&, Neighbor*, Neighbor&&)
  0.00     17.84     0.00  2382929     0.00     0.00  std::remove_reference<Neighbor&>::type&& std::move<Neighbor&>(Neighbor&)
  0.00     17.84     0.00  1572861     0.00     0.00  Edge* std::__addressof<Edge>(Edge&)
  0.00     17.84     0.00  1357424     0.00     0.00  void std::allocator_traits<std::allocator<Neighbor> >::destroy<Neighbor>(std::allocator<Neighbor>&, Neighbor*)
  0.00     17.84     0.00  1357421     0.00     0.00  void __gnu_cxx::new_allocator<Neighbor>::destroy<Neighbor>(Neighbor*)
  0.00     17.84     0.00  1357419     0.00     0.00  void std::__relocate_object_a<Neighbor, Neighbor, std::allocator<Neighbor> >(Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.00     17.84     0.00  1312591     0.00     0.00  Neighbor* std::__niter_base<Neighbor*>(Neighbor*)
  0.00     17.84     0.00  1264776     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::end()
  0.00     17.84     0.00  1165198     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator*() const
  0.00     17.84     0.00  1054731     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::__normal_iterator(Edge* const&)
  0.00     17.84     0.00  1036629     0.00     0.00  std::remove_reference<Edge&>::type&& std::move<Edge&>(Edge&)
  0.00     17.84     0.00  1036319     0.00     0.00  void std::allocator_traits<std::allocator<Edge> >::construct<Edge, Edge>(std::allocator<Edge>&, Edge*, Edge&&)
  0.00     17.84     0.00  1036253     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::construct<Edge, Edge>(Edge*, Edge&&)
  0.00     17.84     0.00  1026108     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::operator-(long) const
  0.00     17.84     0.00  1026083     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::back()
  0.00     17.84     0.00  1025299     0.00     0.00  Neighbor::Neighbor(int, double)
  0.00     17.84     0.00   975037     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::base() const
