# SSSP Tree from source 1
# Vertex	Distance	Parent
1	0	-
2	2	10
3	1	1
4	1	1
5	1	1
6	2	75
7	2	10
8	2	663
9	2	10
10	1	1
11	1	1
12	2	4
13	2	352
14	2	102
15	2	349
16	1	1
17	1	1
18	2	4
19	2	4
20	1	1
21	1	1
22	2	34
23	2	725
24	1	1
25	1	1
26	2	4
27	1	1
28	1	1
29	1	1
30	1	1
31	1	1
32	2	4
33	1	1
34	1	1
35	2	10
36	2	4
37	2	20
38	2	4
39	1	1
40	1	1
41	2	75
42	2	75
43	1	1
44	2	10
45	2	34
46	1	1
47	2	493
48	1	1
49	2	34
50	2	4
51	2	4
52	2	34
53	2	10
54	1	1
55	2	34
56	2	550
57	2	75
58	1	1
59	2	102
60	2	20
61	1	1
62	1	1
63	1	1
64	2	4
65	1	1
66	1	1
67	1	1
68	1	1
69	2	10
70	2	735
71	1	1
72	2	10
73	2	4
74	1	1
75	1	1
76	2	4
77	1	1
78	1	1
79	1	1
80	2	136
81	1	1
82	1	1
83	1	1
84	2	446
85	1	1
86	1	1
87	1	1
88	2	4
89	2	34
90	1	1
91	1	1
92	1	1
93	1	1
94	2	3365
95	2	71399
96	1	1
97	2	34
98	1	1
99	2	5642
100	2	4
101	1	1
102	1	1
103	2	4
104	1	1
105	1	1
106	2	34
107	1	1
108	2	4
109	2	34
110	1	1
111	2	34
112	2	34
113	1	1
114	2	645
115	2	74
116	2	102
117	2	4
118	1	1
119	1	1
120	1	1
121	2	5056
122	2	34
123	1	1
124	2	10
125	2	102
126	2	2168
127	1	1
128	1	1
129	2	4034
130	2	1455
131	2	3973
132	2	1455
133	1	1
134	2	352
135	2	4
136	1	1
137	1	1
138	2	738
139	2	766
140	2	34
141	2	4
142	2	738
143	2	789
144	2	1234
145	1	1
146	2	645
147	2	735
148	2	102
149	2	34
150	2	5418
151	2	127
152	2	444
153	2	34
154	1	1
155	2	4
156	2	34
157	2	663
158	2	4
159	1	1
160	3	6
161	2	738
162	2	34
163	2	67
164	2	349
165	2	4
166	2	349
167	2	34
168	2	34
169	1	1
170	3	2303
171	2	30
172	2	34
173	2	136
174	2	725
175	2	34
176	2	127
177	2	185
178	2	34
179	INF	-
180	1	1
181	2	766
182	2	34
183	2	34
184	2	331
185	1	1
186	2	450
187	2	34
188	2	102
189	2	735
190	2	6159
191	2	4
192	2	34
193	1	1
194	2	345
195	2	4
196	3	2376
197	2	10
198	2	34
199	2	350
200	2	645
201	2	766
202	2	336
203	2	4
204	INF	-
205	1	1
206	2	34
207	2	395
208	2	34
209	3	854
210	1	1
211	2	728
212	1	1
213	2	10
214	2	33
215	1	1
216	2	34
217	2	34
218	2	46
219	2	645
220	2	449
221	2	34
222	1	1
223	2	4
224	2	684
225	1	1
226	2	34
227	3	3830
228	1	1
229	2	34
230	2	725
231	2	725
232	1	1
233	1	1
234	2	34
235	1	1
236	1	1
237	1	1
238	2	350
239	2	102
240	3	5630
241	2	727
242	2	704
243	2	645
244	2	34
245	2	10
246	2	102
247	2	437
248	2	738
249	2	34
250	2	10
251	2	493
252	2	31
253	2	342
254	1	1
255	2	34
256	2	27
257	2	10
258	INF	-
259	2	3850
260	2	576
261	2	34
262	2	10
263	2	71399
264	2	645
265	3	942
266	2	62
267	2	645
268	2	286
269	2	34
270	2	10
271	INF	-
272	2	336
273	2	645
274	2	440
275	INF	-
276	2	555
277	2	555
278	3	1613
279	1	1
280	2	450
281	2	972
282	2	74
283	1	1
284	2	645
285	2	766
286	1	1
287	2	10
288	2	348
289	2	20
290	2	34
291	1	1
292	2	10
293	2	102
294	1	1
295	1	1
296	2	735
297	1	1
298	2	708
299	2	34
300	1	1
301	2	10
302	2	10
303	2	20
304	3	942
305	2	54
306	2	34
307	2	735
308	2	550
309	2	136
310	1	1
311	1	1
312	1	1
313	1	1
314	1	1
315	1	1
316	1	1
317	1	1
318	1	1
319	1	1
320	1	1
321	1	1
322	1	1
323	1	1
324	1	1
325	1	1
326	1	1
327	1	1
328	1	1
329	1	1
330	1	1
331	1	1
332	1	1
333	2	4
334	1	1
335	1	1
336	1	1
337	1	1
338	1	1
339	1	1
340	1	1
341	1	1
342	1	1
343	1	1
344	1	1
345	1	1
346	1	1
347	1	1
348	1	1
349	1	1
350	1	1
351	1	1
352	1	1
353	1	1
354	1	1
355	1	1
356	1	1
357	1	1
358	1	1
359	1	1
360	1	1
361	1	1
362	1	1
363	1	1
364	1	1
365	1	1
366	1	1
367	1	1
368	1	1
369	1	1
370	1	1
371	1	1
372	1	1
373	1	1
374	1	1
375	1	1
376	1	1
377	1	1
378	1	1
379	1	1
380	1	1
381	1	1
382	1	1
383	1	1
384	1	1
385	2	10
386	1	1
387	1	1
388	1	1
389	1	1
390	1	1
391	1	1
392	1	1
393	1	1
394	1	1
395	1	1
396	1	1
397	1	1
398	1	1
399	1	1
400	1	1
401	1	1
402	1	1
403	1	1
404	1	1
405	1	1
406	1	1
407	1	1
408	1	1
409	1	1
410	1	1
411	1	1
412	1	1
413	1	1
414	1	1
415	1	1
416	1	1
417	1	1
418	1	1
419	1	1
420	1	1
421	1	1
422	1	1
423	1	1
424	1	1
425	1	1
426	1	1
427	1	1
428	1	1
429	1	1
430	1	1
431	1	1
432	1	1
433	1	1
434	1	1
435	1	1
436	1	1
437	1	1
438	1	1
439	1	1
440	1	1
441	1	1
442	1	1
443	1	1
444	1	1
445	1	1
446	1	1
447	1	1
448	1	1
449	1	1
450	1	1
451	1	1
452	1	1
453	1	1
454	1	1
455	1	1
456	1	1
457	1	1
458	1	1
459	1	1
460	1	1
461	1	1
462	1	1
463	1	1
464	1	1
465	1	1
466	1	1
467	1	1
468	1	1
469	1	1
470	1	1
471	1	1
472	1	1
473	1	1
474	1	1
475	1	1
476	1	1
477	1	1
478	1	1
479	1	1
480	1	1
481	1	1
482	1	1
483	1	1
484	1	1
485	1	1
486	1	1
487	1	1
488	1	1
489	1	1
490	1	1
491	1	1
492	1	1
493	1	1
494	1	1
495	1	1
496	1	1
497	1	1
498	1	1
499	1	1
500	1	1
501	1	1
502	1	1
503	1	1
504	1	1
505	1	1
506	1	1
507	1	1
508	1	1
509	1	1
510	1	1
511	1	1
512	1	1
513	1	1
514	1	1
515	1	1
516	1	1
517	1	1
518	1	1
519	1	1
520	1	1
521	1	1
522	1	1
523	1	1
524	1	1
525	1	1
