Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 35.88      8.29     8.29 2540310000     0.00     0.00  Graph::removeEdge(int, int)::{lambda(Edge const&)#1}::operator()(Edge const&) const
 18.67     12.60     4.31 2540310000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator++()
 17.19     16.57     3.97 2540310000     0.00     0.00  bool __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>::operator()<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >)
 14.60     19.93     3.37 2540823062     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >::operator*() const
  9.22     22.07     2.13     5000     0.00     0.00  __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > std::__find_if<__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}> >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > >, __gnu_cxx::__ops::_Iter_pred<Graph::removeEdge(int, int)::{lambda(Edge const&)#1}>, std::random_access_iterator_tag)
  1.86     22.50     0.43     5000     0.00     0.00  bool __gnu_cxx::operator!=<Edge*, std::vector<Edge, std::allocator<Edge> > >(__gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&, __gnu_cxx::__normal_iterator<Edge*, std::vector<Edge, std::allocator<Edge> > > const&)
  1.36     22.81     0.32    70331     0.00     0.00  Graph::removeEdge(int, int)::{lambda(Neighbor const&)#2}::operator()(Neighbor const&) const
  0.22     22.86     0.05   513062     0.00     0.00  Graph::addEdge(int, int, double)
  0.17     22.90     0.04  2383549     0.00     0.00  void __gnu_cxx::new_allocator<Neighbor>::construct<Neighbor, Neighbor>(Neighbor*, Neighbor&&)
  0.13     22.93     0.03        1     0.03     0.09  computeInitialSSSP(Graph const&, int)
  0.09     22.95     0.02  1026124     0.00     0.00  Neighbor& std::vector<Neighbor, std::allocator<Neighbor> >::emplace_back<Neighbor>(Neighbor&&)
  0.04     22.96     0.01  4918300     0.00     0.00  __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >::__normal_iterator(PQNode* const&)
  0.04     22.97     0.01  4387183     0.00     0.00  __gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >::operator+(long) const
  0.04     22.98     0.01  2383549     0.00     0.00  void std::allocator_traits<std::allocator<Neighbor> >::construct<Neighbor, Neighbor>(std::allocator<Neighbor>&, Neighbor*, Neighbor&&)
  0.04     22.99     0.01  2212640     0.00     0.00  SSSPTree::getDistance(int) const
  0.04     23.00     0.01  1179452     0.00     0.00  PQNode::operator>(PQNode const&) const
  0.04     23.01     0.01  1037349     0.00     0.00  void __gnu_cxx::new_allocator<Edge>::construct<Edge, Edge>(Edge*, Edge&&)
  0.04     23.02     0.01  1037349     0.00     0.00  std::remove_reference<Edge&>::type&& std::move<Edge&>(Edge&)
  0.04     23.03     0.01   524287     0.00     0.00  void std::__relocate_object_a<Edge, Edge, std::allocator<Edge> >(Edge*, Edge*, std::allocator<Edge>&)
  0.04     23.04     0.01   437536     0.00     0.00  std::vector<Neighbor, std::allocator<Neighbor> >::_S_relocate(Neighbor*, Neighbor*, Neighbor*, std::allocator<Neighbor>&)
  0.04     23.05     0.01   317303     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin() const
  0.04     23.06     0.01   218768     0.00     0.00  void std::vector<Neighbor, std::allocator<Neighbor> >::_M_realloc_insert<Neighbor>(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >, Neighbor&&)
  0.04     23.07     0.01   162816     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor const*, std::vector<Neighbor, std::allocator<Neighbor> > >::__normal_iterator(Neighbor const* const&)
  0.04     23.08     0.01    75867     0.00     0.00  void std::__adjust_heap<__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, long, PQNode, __gnu_cxx::__ops::_Iter_comp_iter<std::greater<PQNode> > >(__gnu_cxx::__normal_iterator<PQNode*, std::vector<PQNode, std::allocator<PQNode> > >, long, long, PQNode, __gnu_cxx::__ops::_Iter_comp_iter<std::greater<PQNode> >)
  0.02     23.09     0.01   238768     0.00     0.00  __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >::difference_type __gnu_cxx::operator-<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > >(__gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&, __gnu_cxx::__normal_iterator<Neighbor*, std::vector<Neighbor, std::allocator<Neighbor> > > const&)
  0.02     23.09     0.01    10000     0.00     0.00  std::remove_reference<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}&>::type&& std::move<Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}&>(Graph::removeEdge(int, int)::{lambda(Neighbor const&)#3}&)
